Index,Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Approval rate,Initially denied then approved - approval rate,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug class,Drug name,Drug code
47,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,K0553,"Supply allowance for therapeutic continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service",19,0.79,,19.9,2064.6,,,,,NA,NA,NA
48,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A9276,"Sensor; invasive (e.g., subcutaneous), disposable, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm), one unit = 1 day supply",469,0.75,,13.1,554.1,,,,,NA,NA,NA
49,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,E0784,"External ambulatory infusion pump, insulin",86,0.69,,33.7,474.1,,,,,NA,NA,NA
50,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A4456,Adhesive remover wipes any type each,3,0.67,,,199.1,,,,,NA,NA,NA
51,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,Q4186,Epifix per sq cm,4,0.5,,60.1,258.8,,,,,NA,NA,NA
52,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A4253,Blood glucose/reagent strips,2,0.5,,1.2,,,,,,NA,NA,NA
53,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A6209,Foam drsg <=16 sq in w/o,2,0,,1.2,,,,,,NA,NA,NA
54,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A4230,Infus insulin pump non needl,74,1,,6.2,197.2,,,,,NA,NA,NA
55,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A9274,"External ambulatory insulin delivery system, disposable, each, includes all supplies and accessories",17,1,,9.8,517.4,,,,,NA,NA,NA
56,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A9277,"Transmitter; external, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm)",7,1,,42.7,594.1,,,,,NA,NA,NA
57,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,Q4110,Primatrix per sq cm,1,1,,3.3,,,,,,NA,NA,NA
58,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,K0553,"Supply allowance for therapeutic continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service",19,0.79,,19.9,2064.6,,,,,NA,NA,NA
59,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A9276,"Sensor; invasive (e.g., subcutaneous), disposable, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm), one unit = 1 day supply",469,0.75,,13.1,554.1,,,,,NA,NA,NA
60,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,E0784,"External ambulatory infusion pump, insulin",86,0.69,,33.7,474.1,,,,,NA,NA,NA
61,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A4456,Adhesive remover wipes any type each,3,0.67,,,199.1,,,,,NA,NA,NA
62,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,Q4186,Epifix per sq cm,4,0.5,,60.1,258.8,,,,,NA,NA,NA
63,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A4253,Blood glucose/reagent strips,2,0.5,,1.2,,,,,,NA,NA,NA
64,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0781,Ambulatory infusion pump 1 or multiple channels patient wears,2,0,0.5,26.2,1429.8,,,,,NA,NA,NA
65,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A9276,"Sensor; invasive (e.g., subcutaneous), disposable, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm), one unit = 1 day supply",469,0,0.01,13.1,554.1,,,,,NA,NA,NA
66,Carrier F,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0784,"External ambulatory infusion pump, insulin",86,0,0.01,33.7,474.1,,,,,NA,NA,NA
67,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,K0553,"Supply allowance for therapeutic continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service",49,1,,,18.8,,,,,NA,NA,NA
68,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,A4230,Infus insulin pump non needl,48,1,,3.4,22.6,,,,,NA,NA,NA
69,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,A4232,Syringe w/needle insulin 3cc,28,1,,,16.4,,,,,NA,NA,NA
70,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,A9276,"Sensor; invasive (e.g., subcutaneous), disposable, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm), one unit = 1 day supply",4,1,,,5.2,,,,,NA,NA,NA
71,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,A6257,Transparent film sterl 16 sq in or less ea dress,3,1,,,11.2,,,,,NA,NA,NA
72,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,K0554,"Receiver (monitor), dedicated, for use with therapeutic glucose continuous monitor system",132,0.9,,,33.9,,,,,NA,NA,NA
73,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0784,"External ambulatory infusion pump, insulin",22,0.86,,,41.1,,,,,NA,NA,NA
74,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,95250,Ambulatory continuous glucose monitoring of interstitial tissue fluid via a subcutaneou,32,0.38,,,,,,,,NA,NA,NA
75,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,A5120,Skin barrier wipes or swabs each,3,0.33,,,65,,,,,NA,NA,NA
76,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,K0553,"Supply allowance for therapeutic continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service",49,1,,,18.8,,,,,NA,NA,NA
77,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,A4230,Infus insulin pump non needl,48,1,,3.4,22.6,,,,,NA,NA,NA
78,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,A4232,Syringe w/needle insulin 3cc,28,1,,,16.4,,,,,NA,NA,NA
79,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,A9276,"Sensor; invasive (e.g., subcutaneous), disposable, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm), one unit = 1 day supply",4,1,,,5.2,,,,,NA,NA,NA
80,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,A6257,Transparent film sterl 16 sq in or less ea dress,3,1,,,11.2,,,,,NA,NA,NA
81,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,K0554,"Receiver (monitor), dedicated, for use with therapeutic glucose continuous monitor system",132,0.9,,,33.9,,,,,NA,NA,NA
82,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0784,"External ambulatory infusion pump, insulin",22,0.86,,,41.1,,,,,NA,NA,NA
83,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,95250,Ambulatory continuous glucose monitoring of interstitial tissue fluid via a subcutaneou,32,0.38,,,,,,,,NA,NA,NA
84,Carrier G,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,A5120,Skin barrier wipes or swabs each,3,0.33,,,65,,,,,NA,NA,NA
85,Carrier H,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,NA,NA,test strips,14,0.84,,6.57,45.22,,,,,NA,NA,NA
86,Carrier H,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,NA,NA,test strips,14,0.84,,6.57,45.22,,,,,NA,NA,NA
87,Carrier H,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,NA,NA,test strips,14,0,0,6.57,45.22,,,,,NA,NA,NA
88,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,E0784,"External ambulatory infusion pump, insulin",13,1,,14.8,99.5,,,,,NA,NA,NA
89,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,Q4186,Epifix per sq cm,1,1,,,24,,,,,NA,NA,NA
90,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A4230,Infus insulin pump non needl,10,0.8,,13.2,31.7,,,,,NA,NA,NA
91,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A9276,"Sensor; invasive (e.g., subcutaneous), disposable, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm), one unit = 1 day supply",29,0.79,,7.9,37.9,,,,,NA,NA,NA
92,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A4232,Syringe w/needle insulin 3cc,9,0.78,,,38.5,,,,,NA,NA,NA
93,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A9277,"Transmitter; external, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm)",13,0.77,,12.2,22,,,,,NA,NA,NA
94,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,K0553,"Supply allowance for therapeutic continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service",3,0.67,,,,,,,,NA,NA,NA
95,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A4253,Blood glucose/reagent strips,2,0.5,,,,,,,,NA,NA,NA
96,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,A5500,Diab only fit cstm prep&spl shoe mx dnsity insrt per shoe,1,0,,,46.5,,,,,NA,NA,NA
97,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,CPT,99499,Therapy care,1,0,,69.1,,,,,,NA,NA,NA
98,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,E0784,"External ambulatory infusion pump, insulin",13,1,,14.8,95.5,,,,,NA,NA,NA
99,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A9274,"External ambulatory insulin delivery system, disposable, each, includes all supplies and accessories",1,1,,,56.9,,,,,NA,NA,NA
100,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A5514,Diab only mx den insrt direct carv custom fab ea,1,1,,,76.5,,,,,NA,NA,NA
101,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,Q4186,Epifix per sq cm,1,1,,,24,,,,,NA,NA,NA
102,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,95249,"Glucose monitoring 72 hrs, pt provided equip, training and recording",1,1,,,18.5,,,,,NA,NA,NA
103,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A4230,Infus insulin pump non needl,10,0.8,,14.8,35.4,,,,,NA,NA,NA
104,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A9276,"Sensor; invasive (e.g., subcutaneous), disposable, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm), one unit = 1 day supply",29,0.79,,8.5,29.2,,,,,NA,NA,NA
105,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A4232,Syringe w/needle insulin 3cc,9,0.78,,14.8,38.5,,,,,NA,NA,NA
106,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,A9277,"Transmitter; external, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm)",13,0.77,,12.2,22,,,,,NA,NA,NA
107,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,K0553,"Supply allowance for therapeutic continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service",3,0.67,,1.7,213.8,,,,,NA,NA,NA
108,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A4232,Syringe w/needle insulin 3cc,9,0,0.11,14.8,38.5,,,,,NA,NA,NA
109,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A4230,Infus insulin pump non needl,10,0,0.1,14.8,35.4,,,,,NA,NA,NA
110,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A9277,"Transmitter; external, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm)",13,0,0.08,12.2,22,,,,,NA,NA,NA
111,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0784,"External ambulatory infusion pump, insulin",13,0,0.08,14.8,95.5,,,,,NA,NA,NA
112,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,A9276,"Sensor; invasive (e.g., subcutaneous), disposable, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm), one unit = 1 day supply",29,0,0.03,8.5,29.2,,,,,NA,NA,NA
113,Carrier J,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,NA,NA,test strips,218,0.84,,6.51,8.17,,,,,NA,NA,NA
114,Carrier J,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,NA,NA,test strips,218,0.84,,6.51,8.17,,,,,NA,NA,NA
115,Carrier J,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,NA,NA,test strips,218,0,0,6.5,8.17,,,,,NA,NA,NA
116,Carrier K,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0784,"External ambulatory infusion pump, insulin",8,1,,,20.44,360,,,,NA,NA,NA
117,Carrier K,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0784,"External ambulatory infusion pump, insulin",8,1,,,20.44,0.2,,,,NA,NA,NA
118,Carrier L,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0784,"External ambulatory infusion pump, insulin",95,0.99,,,49.14,,,,,NA,NA,NA
119,Carrier L,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0781,Ambulatory infusion pump 1 or multiple channels patient wears,1,0,,,,,,,,NA,NA,NA
120,Carrier L,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,A9276,"Sensor; invasive (e.g., subcutaneous), disposable, for use with nondurable medical equipment interstitial continuous glucose monitoring system (cgm), one unit = 1 day supply",1,0,,,125.98,,,,,NA,NA,NA
